N	NI	D	RH	RM	RS	V	DG	DM	DS	VMAG
N	6135	*	16	14	24.9	+	64	59	0	14.2
N	6136	*	16	20	59.4	+	55	58	13	14.8
N	6137	*	16	23	3.1	+	37	55	21	12.4
N	6137		16	23	3.1	+	37	55	21	12.4
N	6137		16	22	59.6	+	37	56	57	14.7
N	6138	*	17	22	39.9	+	41	6	8	13.3
N	6139	*	16	27	40.4	-	38	50	54	9.1
N	6140	*	16	20	57.0	+	65	23	24	11.3
N	6141	*	16	23	6.3	+	40	51	30	14.9
N	6142	*	16	23	21.0	+	37	15	30	13.8
N	6143	*	16	21	42.3	+	55	5	11	13.1
N	6144	*	16	27	14.1	-	26	1	27	9.0
N	6145	*	16	25	2.4	+	40	56	47	14.2
N	6146	*	16	25	10.2	+	40	53	33	12.5
N	6147	*	16	25	5.8	+	40	55	44	15.1
N	6148	*	16	27	4.0	+	24	5	34	16.1
N	6149	*	16	27	24.3	+	19	35	51	13.5
N	6150	*	16	25	49.9	+	40	29	20	14.0
N	6150		16	25	49.9	+	40	29	20	14.0
N	6150		16	25	44.4	+	40	28	32	14.3
N	6151	*	16	38	24.1	-	73	15	7	
N	6152	*	16	32	45.0	-	52	38	36	8.1
N	6153	*	16	31	30.6	-	40	15	11	10.9
N	6154	*	16	25	30.6	+	49	50	25	12.7
N	6155	*	16	26	8.3	+	48	22	3	12.3
N	6156	*	16	34	52.6	-	60	37	9	11.5
N	6157	*	16	25	48.3	+	55	21	40	14.5
N	6158	*	16	27	40.9	+	39	23	0	13.7
N	6159	*	16	27	25.1	+	42	40	49	14.2
N	6160	*	16	27	41.1	+	40	55	39	13.2
N	6161	*	16	28	20.6	+	32	48	37	14.9
N	6162	*	16	28	22.3	+	32	50	59	13.6
N	6163	*	16	28	27.8	+	32	50	49	14.4
N	6164	*	16	33	41.0	-	48	4	46	
N	6165	*	16	34	2.0	-	48	9	4	
N	6166	*	16	28	38.5	+	39	33	5	11.8
N	6166		16	28	31.0	+	39	31	16	15.0
N	6166		16	28	53.1	+	39	33	39	14.9
N	6166		16	28	23.2	+	39	34	14	14.5
N	6166		16	28	39.1	+	39	31	8	14.8
N	6167	*	16	34	34.9	-	49	46	19	6.7
N	6168	*	16	31	21.3	+	20	11	6	14.2
N	6169	*	16	34	5.0	-	44	2	43	6.6
N	6170	*	16	27	36.4	+	59	33	47	13.8
N	6171	*	16	32	31.9	-	13	3	11	7.8
N	6172	*	16	22	10.2	-	1	30	51	12.8
N	6173	*	16	29	45.0	+	40	48	40	12.1
N	6174	*	16	29	23.8	+	40	52	30	14.0
N	6175	*	16	29	57.4	+	40	37	49	13.7
N	6175		16	29	58.0	+	40	37	41	14.0
N	6176	*	16	27	36.4	+	59	33	47	13.8
N	6177	*	16	30	38.8	+	35	3	20	13.6
N	6178	*	16	35	50.8	-	45	38	48	7.2
N	6179	*	16	30	46.9	+	35	6	10	15.3
N	6180	*	16	30	33.9	+	40	32	23	14.1
N	6181	*	16	32	20.7	+	19	49	32	11.9
N	6182	*	16	29	33.9	+	55	31	4	13.5
N	6183	*	16	41	41.8	-	69	22	21	12.2
N	6184	*	16	31	34.4	+	40	33	56	14.0
N	6185	*	16	33	17.8	+	35	20	32	13.4
N	6186	*	16	34	25.4	+	21	32	29	12.9
N	6187	*	16	31	36.6	+	57	42	26	14.4
N	6188	*	16	40	5.0	-	48	39	42	
N	6189	*	16	31	40.7	+	59	37	36	12.7
N	6190	*	16	32	6.4	+	58	26	21	12.6
N	6191	*	16	31	40.7	+	59	37	36	12.7
N	6192	*	16	40	20.8	-	43	21	55	8.5
N	6193	*	16	41	20.3	-	48	45	48	5.2
N	6194	*	16	36	37.0	+	36	12	2	13.8
N	6195	*	16	36	32.6	+	39	1	42	13.0
N	6196	*	16	37	53.8	+	36	4	23	12.9
N	6197	*	16	37	59.8	+	35	59	45	14.6
N	6198	*	16	35	30.6	+	57	29	14	13.6
N	6199	*	16	39	28.9	+	36	3	34	
N	6200	*	16	44	8.6	-	47	28	11	7.4
N	6201	*	16	40	14.4	+	23	45	55	14.6
N	6202	*	16	43	23.2	+	61	59	1	13.1
N	6203	*	16	40	27.3	+	23	46	31	14.4
N	6204	*	16	46	7.9	-	47	0	44	8.2
N	6205	*	16	41	41.5	+	36	27	39	5.8
N	6206	*	16	40	7.9	+	58	37	2	13.6
N	6207	*	16	43	3.7	+	36	49	55	11.6
N	6208	*	16	49	25.8	-	53	42	18	7.2
N	6209	*	16	54	57.7	-	72	35	12	11.8
N	6210	*	16	44	29.5	+	23	48	2	8.8
N	6211	*	16	41	27.6	+	57	47	2	12.6
N	6212	*	16	43	23.2	+	39	48	26	14.2
N	6213	*	16	41	37.3	+	57	48	54	14.7
N	6214	*	16	39	31.8	+	66	2	23	13.5
N	6215	*	16	51	7.0	-	58	59	35	11.5
N	6215		16	52	48.7	-	58	56	49	13.4
N	6216	*	16	49	23.5	-	44	43	53	10.1
N	6217	*	16	32	38.7	+	78	11	57	11.2
N	6218	*	16	47	14.5	-	1	56	50	6.1
N	6219	*	16	46	22.6	+	9	2	18	14.2
N	6220	*	16	47	13.2	-	0	16	30	13.7
N	6221	*	16	52	46.1	-	59	13	6	9.9
N	6222	*	17	0	45.3	-	44	39	18	8.0
N	6223	*	16	43	4.2	+	61	34	43	11.7
N	6224	*	16	48	18.5	+	6	18	44	13.5
N	6225	*	16	48	21.6	+	6	13	23	13.8
N	6226	*	16	43	23.2	+	61	59	1	13.1
N	6227	*	16	51	30.0	-	40	54	0	
N	6228	*	16	48	2.8	+	26	12	46	14.0
N	6229	*	16	46	58.9	+	47	31	42	9.4
N	6230	*	16	50	46.8	+	4	36	16	14.4
N	6231	*	16	54	9.8	-	41	49	30	2.6
N	6232	*	16	43	19.9	+	70	37	57	12.5
N	6233	*	16	50	15.6	+	23	34	49	13.3
N	6234	*	16	51	57.2	+	4	23	3	14.4
N	6235	*	16	53	25.4	-	22	10	36	8.9
N	6236	*	16	44	34.3	+	70	46	48	11.9
N	6237	*	16	44	7.4	+	70	38	5	
N	6238	*	16	47	15.9	+	62	8	51	13.7
N	6239	*	16	50	5.2	+	42	44	23	12.5
N	6240	*	16	52	58.8	+	2	24	11	12.9
N	6241	*	16	50	11.0	+	45	25	16	14.2
N	6242	*	16	55	30.6	-	39	28	1	6.4
N	6243	*	16	52	26.3	+	23	19	58	14.1
N	6244	*	16	48	3.9	+	62	12	2	13.5
N	6245	*	16	45	22.4	+	70	48	16	
N	6246	*	16	49	53.0	+	55	32	34	13.6
N	6246		16	50	14.0	+	55	23	5	13.6
N	6247	*	16	48	19.4	+	62	58	38	12.9
N	6248	*	16	46	22.3	+	70	21	22	13.1
N	6249	*	16	57	41.7	-	44	48	17	8.2
N	6250	*	16	57	56.0	-	45	56	12	5.9
N	6251	*	16	32	31.8	+	82	32	18	12.6
N	6252	*	16	32	40.3	+	82	34	38	14.2
N	6253	*	16	59	6.1	-	52	42	57	10.2
N	6254	*	16	57	8.9	-	4	5	56	6.6
N	6255	*	16	54	47.4	+	36	30	6	12.8
N	6256	*	16	59	32.6	-	37	7	15	11.3
N	6257	*	16	54	52.2	+	39	36	50	
N	6258	*	16	52	29.7	+	60	30	52	13.4
N	6259	*	17	0	45.3	-	44	39	18	8.0
N	6260	*	16	51	50.3	+	63	42	53	13.9
N	6261	*	16	56	30.4	+	27	58	41	14.0
N	6262	*	16	58	42.9	+	57	5	57	13.7
N	6263	*	16	56	43.1	+	27	49	21	13.7
N	6264	*	16	57	16.1	+	27	50	58	14.5
N	6265	*	16	57	29.0	+	27	50	41	14.2
N	6266	*	17	1	12.6	-	30	6	42	6.4
N	6267	*	16	58	8.7	+	22	59	7	13.1
N	6268	*	17	2	4.1	-	39	43	16	9.5
N	6269	*	16	57	58.0	+	27	51	18	12.2
N	6270	*	16	58	44.1	+	27	51	32	13.3
N	6271	*	16	58	50.7	+	27	57	53	14.1
N	6272	*	16	58	58.2	+	27	55	51	14.5
N	6273	*	17	2	37.7	-	26	16	3	6.8
N	6274	*	16	59	20.4	+	29	56	47	13.8
N	6274		16	59	21.6	+	29	56	27	14.7
N	6275	*	16	55	33.6	+	63	14	34	14.3
N	6276	*	17	0	45.0	+	23	2	40	14.6
N	6277	*	17	0	48.8	+	23	2	24	
N	6278	*	17	0	50.2	+	23	0	40	12.4
N	6279	*	16	59	1.3	+	47	14	16	13.6
N	6280	*	17	1	57.5	+	6	39	59	14.6
N	6280		17	1	58.1	+	6	40	3	15.0
N	6281	*	17	4	47.2	-	37	53	16	5.4
N	6282	*	17	0	47.0	+	29	49	13	14.4
N	6283	*	16	59	26.5	+	49	55	19	12.9
N	6284	*	17	4	28.8	-	24	45	51	8.9
N	6285	*	16	58	23.9	+	58	57	21	13.5
N	6286	*	16	58	31.6	+	58	56	15	13.3
N	6287	*	17	5	9.4	-	22	42	27	9.3
N	6288	*	16	57	24.3	+	68	27	27	14.5
N	6289	*	16	57	44.9	+	68	30	51	13.8
N	6290	*	17	0	56.4	+	58	58	15	13.5
N	6291	*	17	0	56.0	+	58	56	16	14.0
N	6292	*	17	3	3.5	+	61	2	38	13.5
N	6293	*	17	10	10.4	-	26	34	52	8.3
N	6294	*	17	10	16.1	-	26	34	25	
N	6295	*	17	3	15.3	+	60	20	16	14.8
N	6296	*	17	8	44.6	+	3	53	40	13.4
N	6297	*	17	3	36.4	+	62	1	34	13.6
N	6298	*	17	3	36.4	+	62	1	34	13.6
N	6299	*	17	5	4.3	+	62	27	30	14.1
N	6300	*	17	16	59.7	-	62	49	13	10.2
N	6301	*	17	8	32.7	+	42	20	21	13.4
N	6302	*	17	13	44.1	-	37	6	12	9.6
N	6303	*	17	5	2.8	+	68	49	40	13.7
N	6304	*	17	14	32.5	-	29	27	42	8.3
N	6305	*	17	18	0.9	-	59	10	16	12.1
N	6306	*	17	7	36.9	+	60	43	45	13.7
N	6307	*	17	7	40.4	+	60	45	2	12.9
N	6308	*	17	11	59.7	+	23	22	46	13.4
N	6309	*	17	14	4.3	-	12	54	37	11.5
N	6310	*	17	7	57.3	+	60	59	25	13.1
N	6311	*	17	10	43.5	+	41	39	4	13.5
N	6312	*	17	10	48.1	+	42	17	17	14.2
N	6313	*	17	10	20.7	+	48	19	54	13.9
N	6314	*	17	12	38.7	+	23	16	14	13.0
N	6315	*	17	12	46.0	+	23	13	25	13.2
N	6316	*	17	16	37.4	-	28	8	22	8.1
N	6317	*	17	8	59.3	+	62	53	53	15.1
N	6318	*	17	16	13.4	-	39	25	26	11.8
N	6319	*	17	9	44.1	+	62	58	23	13.4
N	6320	*	17	12	55.6	+	40	16	2	13.9
N	6321	*	17	14	24.1	+	20	18	49	13.4
N	6322	*	17	18	25.7	-	42	56	2	6.0
N	6323	*	17	13	17.9	+	43	46	56	13.9
N	6324	*	17	5	25.3	+	75	24	28	12.9
N	6325	*	17	17	59.2	-	23	45	55	10.2
N	6326	*	17	20	46.4	-	51	45	14	
N	6327	*	17	14	2.2	+	43	38	56	14.9
N	6328	*	17	23	40.9	-	65	0	35	12.1
N	6329	*	17	14	15.1	+	43	41	6	12.8
N	6330	*	17	15	44.4	+	29	24	15	14.0
N	6331	*	17	3	34.3	+	78	37	47	14.4
N	6332	*	17	15	2.7	+	43	39	37	13.6
N	6333	*	17	19	11.8	-	18	30	57	7.8
N	6334	*	17	20	48.0	-	36	6	12	
N	6335	*	17	19	31.8	-	30	9	49	
N	6336	*	17	16	16.5	+	43	49	15	13.6
N	6337	*	17	22	15.7	-	38	28	59	12.3
N	6338	*	17	15	22.6	+	57	24	41	12.3
N	6339	*	17	17	6.6	+	40	50	42	12.7
N	6340	*	17	10	23.9	+	72	18	17	11.0
N	6341	*	17	17	7.3	+	43	8	13	6.5
N	6342	*	17	21	10.2	-	19	35	12	9.5
N	6343	*	17	17	16.2	+	41	3	10	13.8
N	6344	*	17	17	18.1	+	42	26	4	
N	6345	*	17	15	23.9	+	57	21	2	14.4
N	6346	*	17	15	24.3	+	57	19	23	14.6
N	6347	*	17	19	54.6	+	16	39	38	13.7
N	6348	*	17	18	21.1	+	41	38	53	14.4
N	6349	*	17	19	6.4	+	36	3	41	14.3
N	6350	*	17	18	42.2	+	41	41	40	13.2
N	6351	*	17	19	10.9	+	36	3	36	15.2
N	6352	*	17	25	29.2	-	48	25	20	7.8
N	6353	*	17	21	12.4	+	15	41	18	
N	6354	*	17	24	34.0	-	38	32	30	
N	6355	*	17	23	58.6	-	26	21	11	8.6
N	6356	*	17	23	35.0	-	17	48	45	8.2
N	6357	*	17	24	43.5	-	34	12	5	
N	6358	*	17	18	52.8	+	52	36	57	14.0
N	6359	*	17	17	53.0	+	61	46	51	12.6
N	6360	*	17	24	26.5	-	29	51	46	
N	6361	*	17	18	40.9	+	60	36	29	13.1
N	6362	*	17	31	54.8	-	67	2	51	8.1
N	6363	*	17	22	39.9	+	41	6	8	13.3
N	6364	*	17	24	27.3	+	29	23	28	12.9
N	6365		17	22	44.0	+	62	9	57	13.9
N	6365	*	17	22	43.5	+	62	10	24	14.2
N	6366	*	17	27	44.3	-	5	4	34	9.5
N	6367	*	17	25	8.9	+	37	45	37	14.2
N	6368	*	17	27	11.4	+	11	32	35	12.3
N	6369	*	17	29	20.4	-	23	45	33	11.4
N	6370	*	17	23	25.1	+	56	58	30	12.9
N	6371	*	17	27	20.6	+	26	30	18	14.3
N	6372	*	17	27	31.9	+	26	28	29	12.9
N	6373	*	17	24	8.0	+	58	59	43	13.6
N	6374	*	17	34	42.2	-	32	34	54	5.5
N	6375	*	17	29	21.8	+	16	12	26	13.9
N	6376	*	17	25	19.2	+	58	49	2	14.8
N	6377	*	17	25	23.0	+	58	49	22	14.9
N	6378	*	17	30	41.8	+	6	16	53	13.5
N	6379	*	17	30	35.0	+	16	17	19	12.9
N	6380	*	17	34	28.0	-	39	4	7	11.5
N	6381	*	17	27	16.9	+	60	0	50	13.0
N	6382	*	17	27	55.2	+	56	52	8	14.0
N	6383	*	17	34	42.2	-	32	34	54	5.5
N	6384	*	17	32	24.2	+	7	3	39	10.4
N	6385	*	17	28	1.5	+	57	31	19	13.1
N	6386	*	17	28	51.7	+	52	43	26	14.2
N	6387	*	17	28	23.9	+	57	32	45	15.7
N	6388	*	17	36	17.0	-	44	44	4	6.8
N	6389	*	17	32	39.7	+	16	24	7	12.1
N	6390	*	17	28	28.1	+	60	5	40	13.8
N	6391	*	17	28	49.0	+	58	51	3	14.5
N	6392	*	17	43	30.6	-	69	47	4	11.6
N	6393	*	17	30	8.5	+	59	31	55	15.7
N	6394	*	17	30	21.3	+	59	38	24	14.5
N	6395	*	17	26	31.0	+	71	5	50	12.3
N	6396	*	17	37	36.2	-	35	1	33	8.5
N	6397	*	17	40	41.3	-	53	40	23	5.3
N	6398	*	17	42	43.9	-	61	41	38	12.7
N	6399	*	17	31	50.4	+	59	36	56	13.7
N	6400	*	17	40	12.0	-	36	57	42	8.8
N	6401	*	17	38	36.9	-	23	54	30	7.4
N	6402	*	17	37	36.1	-	3	14	43	7.6
N	6403	*	17	43	23.6	-	61	40	55	13.5
N	6404	*	17	39	37.3	-	33	14	48	10.6
N	6405	*	17	40	20.0	-	32	15	30	4.2
N	6406	*	17	38	19.2	+	18	49	58	
N	6407	*	17	44	57.8	-	60	44	23	11.5
N	6408	*	17	38	47.3	+	18	52	42	12.7
N	6409	*	17	36	35.3	+	50	45	59	13.8
N	6410	*	17	35	20.5	+	60	47	32	
N	6411	*	17	35	32.6	+	60	48	47	11.9
N	6412	*	17	29	36.9	+	75	42	17	11.8
N	6413	*	17	40	40.7	+	12	37	26	
N	6414	*	17	30	36.7	+	74	22	36	14.7
N	6415	*	17	44	18.0	-	35	4	0	
N	6416	*	17	44	19.9	-	32	21	40	5.7
N	6417	*	17	41	47.8	+	23	40	18	13.4
N	6418	*	17	38	9.4	+	58	42	55	14.4
N	6419	*	17	36	5.6	+	68	9	21	14.8
N	6420	*	17	36	16.2	+	68	3	9	14.4
N	6421	*	17	45	44.0	-	33	41	14	
N	6422	*	17	36	29.8	+	68	3	30	14.8
N	6423	*	17	36	53.2	+	68	10	16	14.7
N	6424	*	17	36	12.0	+	69	59	22	14.1
N	6425	*	17	47	0.0	-	31	31	48	7.2
N	6426	*	17	44	54.7	+	3	10	15	10.9
N	6427	*	17	43	38.5	+	25	29	38	13.3
N	6428	*	17	43	52.4	+	25	33	18	
N	6429	*	17	44	5.3	+	25	21	3	13.1
N	6430	*	17	45	14.2	+	18	8	20	13.5
N	6431	*	17	43	38.5	+	25	29	38	13.3
N	6432	*	17	47	22.4	-	24	53	16	
N	6433	*	17	43	56.2	+	36	48	2	13.3
N	6434	*	17	36	48.8	+	72	5	18	12.4
N	6435	*	17	40	11.1	+	62	38	31	13.9
N	6436	*	17	41	13.2	+	60	26	59	14.0
N	6437	*	17	48	24.0	-	35	21	0	
N	6438	*	18	22	15.9	-	85	24	6	11.7
N	6438		18	22	33.0	-	85	24	22	11.6
N	6439	*	17	48	19.8	-	16	28	44	12.6
N	6440	*	17	48	52.6	-	20	21	32	9.3
N	6441	*	17	50	12.9	-	37	3	2	7.2
N	6442	*	17	46	51.3	+	20	45	42	12.6
N	6443	*	17	44	33.7	+	48	6	52	13.8
N	6444	*	17	49	35.1	-	34	49	11	
N	6445	*	17	49	15.1	-	20	0	32	11.2
N	6446	*	17	46	7.5	+	35	34	10	15.2
N	6447	*	17	46	17.1	+	35	34	20	12.8
N	6448	*	17	44	20.5	+	53	32	25	
N	6449	*	17	43	46.6	+	56	48	15	13.8
N	6450	*	17	47	32.3	+	18	34	31	
N	6451	*	17	50	40.5	-	30	12	42	8.2
N	6452	*	17	47	58.5	+	20	50	15	14.4
N	6453	*	17	50	51.8	-	34	35	53	10.2
N	6454	*	17	44	56.5	+	55	42	16	13.6
N	6455	*	17	51	8.0	-	35	20	14	
N	6456	*	17	42	31.7	+	67	35	32	14.8
N	6457	*	17	42	52.7	+	66	28	34	14.2
N	6458	*	17	49	10.9	+	20	48	17	13.4
N	6459	*	17	45	47.1	+	55	46	37	14.7
N	6460	*	17	49	30.3	+	20	45	51	13.1
N	6461	*	17	39	56.6	+	74	2	2	15.1
N	6462	*	17	44	48.7	+	61	54	38	13.9
N	6463	*	17	43	34.2	+	67	36	15	14.1
N	6464	*	17	45	47.6	+	60	53	51	14.8
N	6465	*	17	52	55.4	-	25	23	50	
N	6466	*	17	48	8.0	+	51	23	58	14.1
N	6467	*	17	50	40.1	+	17	32	18	12.6
N	6468	*	17	50	39.2	+	17	12	36	14.3
N	6469	*	17	52	56.5	-	22	18	43	8.2
N	6470	*	17	44	14.7	+	67	37	9	14.2
N	6471	*	17	44	12.6	+	67	35	34	14.7
N	6471		17	44	17.8	+	67	35	27	15.3
N	6472	*	17	44	3.0	+	67	37	49	15.0
N	6473	*	17	46	54.0	+	57	18	30	
N	6474	*	17	47	5.5	+	57	18	5	14.5
N	6475	*	17	53	50.0	-	34	47	36	3.3
N	6476	*	17	54	12.0	-	29	7	12	
N	6477	*	17	44	29.7	+	67	36	39	15.3
N	6478	*	17	48	38.3	+	51	9	24	13.4
N	6479	*	17	48	21.7	+	54	8	59	13.7
N	6480	*	17	54	26.0	-	30	27	6	
N	6481	*	17	52	49.0	+	4	10	2	
N	6482	*	17	51	48.7	+	23	4	22	11.5
N	6483	*	17	59	30.5	-	63	40	7	11.9
N	6484	*	17	51	46.8	+	24	28	59	12.3
N	6485	*	17	51	52.8	+	31	27	43	12.9
N	6486	*	17	52	35.2	+	29	49	7	14.3
N	6487	*	17	52	41.7	+	29	50	19	11.9
N	6488	*	17	49	20.8	+	62	13	24	14.5
N	6489	*	17	50	1.3	+	60	5	33	15.3
N	6490	*	17	54	30.4	+	18	22	35	13.5
N	6491	*	17	50	0.6	+	61	31	55	13.6
N	6492	*	18	2	48.3	-	66	25	50	11.5
N	6493	*	17	50	22.5	+	61	33	34	14.4
N	6493		17	50	0.6	+	61	31	55	13.6
N	6494	*	17	56	56.0	-	19	0	42	5.5
N	6495	*	17	54	50.7	+	18	19	39	12.2
N	6496	*	17	59	2.0	-	44	15	52	8.6
N	6497	*	17	51	17.8	+	59	28	16	13.5
N	6498	*	17	51	17.8	+	59	28	16	13.5
N	6499	*	17	55	20.0	+	18	21	34	
N	6500	*	17	55	59.7	+	18	20	20	12.2
N	6501	*	17	56	3.7	+	18	22	25	12.0
N	6502	*	18	4	14.0	-	65	24	35	12.5
N	6503	*	17	49	27.5	+	70	8	37	10.2
N	6504	*	17	56	5.6	+	33	12	31	12.6
N	6505	*	17	51	7.3	+	65	31	53	14.4
N	6506	*	17	59	53.4	-	24	41	7	
N	6507	*	17	59	50.0	-	17	27	0	
N	6508	*	17	49	46.3	+	72	1	18	12.8
N	6509	*	17	59	25.3	+	6	17	14	12.5
N	6510	*	17	54	39.2	+	60	49	2	13.7
N	6511	*	17	54	39.2	+	60	49	2	13.7
N	6512	*	17	54	50.2	+	62	38	44	13.9
N	6513	*	17	59	34.3	+	24	53	15	13.3
N	6514	*	18	3	26.0	-	22	59	27	
N	6515	*	17	57	25.3	+	50	43	39	13.0
N	6516	*	17	55	16.6	+	62	40	10	14.8
N	6517	*	18	1	50.6	-	8	57	30	10.1
N	6518	*	17	59	43.6	+	28	52	2	13.9
N	6519	*	18	3	20.1	-	29	48	14	
N	6520	*	18	3	25.0	-	27	53	28	7.6
N	6521	*	17	55	48.3	+	62	36	42	12.9
N	6521		17	56	34.8	+	62	37	1	15.0
N	6522	*	18	3	34.1	-	30	2	0	9.9
N	6523	*	18	3	42.0	-	24	22	48	
N	6524	*	17	59	14.8	+	45	53	17	12.8
N	6525	*	18	2	6.0	+	11	1	31	
N	6526	*	18	4	6.0	-	24	26	30	
N	6527	*	18	1	46.2	+	19	43	45	13.4
N	6528	*	18	4	49.6	-	30	3	19	9.6
N	6529	*	18	5	29.0	-	36	17	48	
N	6530	*	18	4	30.0	-	24	21	30	4.6
N	6531	*	18	4	13.3	-	22	30	0	5.9
N	6532	*	17	59	13.8	+	56	13	55	13.9
N	6533	*	18	3	42.0	-	24	22	48	
N	6534	*	17	57	18.9	+	64	18	12	
N	6535	*	18	3	50.7	-	0	17	47	9.3
N	6536	*	17	57	16.3	+	64	56	16	13.4
N	6537	*	18	5	13.0	-	19	50	32	11.6
N	6538	*	17	54	17.1	+	73	25	27	13.3
N	6539	*	18	4	49.8	-	7	35	7	8.9
N	6540	*	18	6	8.6	-	27	45	53	9.3
N	6541	*	18	8	2.2	-	43	42	40	6.3
N	6542	*	17	59	39.0	+	61	21	32	13.3
N	6543	*	17	58	33.4	+	66	38	1	8.1
N	6544	*	18	7	20.6	-	24	59	49	7.5
N	6545	*	18	12	14.9	-	63	46	33	13.2
N	6546	*	18	7	22.0	-	23	17	48	8.0
N	6547	*	18	5	10.0	+	25	13	58	13.6
N	6548	*	18	5	59.2	+	18	35	14	11.7
N	6549	*	18	5	49.4	+	18	32	16	13.8
N	6550	*	18	5	49.4	+	18	32	16	13.8
N	6551	*	18	9	0.0	-	29	33	0	
N	6552	*	18	0	7.0	+	66	36	55	13.7
N	6553	*	18	9	15.6	-	25	54	26	8.3
N	6554	*	18	9	23.0	-	18	22	42	
N	6555	*	18	7	49.0	+	17	36	17	12.4
N	6556	*	18	9	56.0	-	27	31	27	
N	6557	*	18	21	24.7	-	76	34	58	12.9
N	6558	*	18	10	18.4	-	31	45	47	8.6
N	6559	*	18	9	57.6	-	24	6	35	
N	6560	*	18	5	13.8	+	46	52	54	13.6
N	6561	*	18	10	33.0	-	16	44	48	
N	6562	*	18	5	0.8	+	56	15	49	13.9
N	6563	*	18	12	2.6	-	33	52	4	11.0
N	6564	*	18	9	2.3	+	17	23	40	
N	6565	*	18	11	52.5	-	28	10	41	11.6
N	6566	*	18	7	0.7	+	52	15	38	14.5
N	6567	*	18	13	45.1	-	19	4	32	11.0
N	6568	*	18	12	44.0	-	21	35	0	8.6
N	6569	*	18	13	38.9	-	31	49	33	8.4
N	6570	*	18	11	7.3	+	14	5	34	12.7
N	6571	*	18	10	49.3	+	21	14	21	14.4
N	6572	*	18	12	6.4	+	6	51	15	8.1
N	6573	*	18	13	41.5	-	22	7	8	
N	6574	*	18	11	51.2	+	14	58	54	12.0
N	6575	*	18	10	57.5	+	31	6	58	12.7
N	6576	*	18	11	47.9	+	21	25	44	14.7
N	6577	*	18	12	1.1	+	21	27	50	12.6
N	6578	*	18	16	16.5	-	20	27	0	12.9
N	6579	*	18	12	31.8	+	21	25	14	13.8
N	6580	*	18	12	33.7	+	21	25	33	13.3
N	6581	*	18	12	18.3	+	25	39	46	14.3
N	6582	*	18	11	1.8	+	49	54	41	13.9
N	6582		18	11	5.2	+	49	54	33	14.4
N	6583	*	18	15	48.8	-	22	8	15	10.0
N	6584	*	18	18	37.7	-	52	12	52	7.9
N	6585	*	18	12	21.9	+	39	38	0	12.9
N	6586	*	18	13	38.4	+	21	5	27	13.7
N	6587	*	18	13	50.8	+	18	49	33	12.9
N	6588	*	18	21	27.0	-	63	48	24	
N	6589	*	18	16	51.7	-	19	46	41	
N	6590	*	18	17	4.8	-	19	51	58	
N	6591	*	18	14	3.7	+	21	3	49	15.5
N	6592	*	18	9	50.6	+	61	25	21	14.4
N	6593	*	18	14	3.6	+	22	17	5	14.3
N	6594	*	18	10	5.6	+	61	8	1	14.5
N	6595	*	18	17	4.8	-	19	51	58	
N	6596	*	18	17	33.0	-	16	39	0	
N	6597	*	18	11	13.4	+	61	10	52	14.8
N	6598	*	18	8	55.7	+	69	4	7	13.3
N	6599	*	18	15	42.9	+	24	54	47	12.6
N	6600	*	18	15	42.9	+	24	54	47	12.6
N	6601	*	18	11	44.2	+	61	27	11	14.7
N	6602	*	18	16	34.2	+	25	2	37	13.8
N	6603	*	18	18	24.0	-	18	24	24	11.1
N	6604	*	18	18	6.0	-	12	13	0	6.5
N	6605	*	18	16	24.0	-	15	0	0	6.0
N	6606	*	18	14	41.3	+	43	16	7	13.9
N	6607	*	18	12	14.9	+	61	20	0	15.3
N	6608	*	18	12	29.2	+	61	17	55	15.1
N	6609	*	18	12	33.6	+	61	19	56	14.5
N	6610	*	18	11	51.2	+	14	58	54	12.0
N	6611	*	18	18	45.0	-	13	47	54	6.0
N	6612	*	18	16	10.9	+	36	4	45	14.2
N	6613	*	18	19	58.0	-	17	6	6	6.9
N	6614	*	18	25	7.3	-	63	14	54	12.5
N	6615	*	18	18	33.4	+	13	15	55	13.1
N	6616	*	18	17	41.0	+	22	14	16	13.8
N	6617	*	18	14	2.9	+	61	19	10	14.6
N	6618	*	18	20	47.0	-	16	10	18	
N	6619	*	18	18	55.5	+	23	39	19	13.0
N	6620	*	18	22	54.2	-	26	49	16	12.7
N	6621	*	18	12	55.6	+	68	21	47	13.6
N	6622	*	18	12	59.9	+	68	21	15	15.0
N	6623	*	18	19	42.9	+	23	42	34	13.0
N	6623		18	19	42.7	+	23	42	7	14.5
N	6624	*	18	23	40.5	-	30	21	38	7.6
N	6625	*	18	23	12.8	-	12	0	47	9.0
N	6626	*	18	24	32.9	-	24	52	10	6.9
N	6627	*	18	22	38.9	+	15	41	54	13.3
N	6628	*	18	22	21.7	+	23	28	39	12.9
N	6629	*	18	25	42.4	-	23	12	8	11.3
N	6630	*	18	32	34.5	-	63	17	31	13.9
N	6631	*	18	27	9.5	-	12	1	35	11.7
N	6632	*	18	25	3.1	+	27	32	9	12.1
N	6633	*	18	27	15.1	+	6	30	30	4.6
N	6634	*	18	29	55.3	-	33	30	40	
N	6635	*	18	27	37.0	+	14	49	7	13.4
N	6636	*	18	22	2.6	+	66	37	3	13.7
N	6636		18	22	4.9	+	66	37	21	15.2
N	6637	*	18	31	23.2	-	32	20	51	8.3
N	6638	*	18	30	56.2	-	25	29	45	9.2
